League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Italian Serie C,2024-03-19,15:30:00,LR Vicenza Virtus,Fiorenzuola,1.28,1.31,13.0,18.0,5.7,6.6,2.12,2.24,1.8,1.89,2.46,2.6,1.62,1.68,7.2,19.0,9.0,44.0,4.7,160.0,4.8,1000.0,6.2,7.8,6.6,15.0,4.5,65.0,4.8,1000.0,6.2,7.2,5.8,11.5,4.4,50.0,16.5,1000.0,8.2,9.4,6.6,17.5,4.6,60.0,11.0,1000.0,3.8,5.6,15.0,1000.0,11.5,1000.0,33118895,19857199.0,9009617.0,58805.0,1.226330225,1.22633027,1.226330309,1.226330234
Venezuelan Primera Division,2024-03-19,16:00:00,Estudiantes de Merida,Universidad de Venezuela,2.78,3.2,2.52,2.94,3.1,3.55,1.64,1.84,2.2,2.56,1.87,2.16,1.86,2.16,3.85,12.0,7.0,12.0,4.9,21.0,4.8,55.0,3.8,11.5,3.35,14.0,4.2,15.0,3.9,42.0,4.5,19.5,4.1,15.5,4.7,25.0,5.2,65.0,3.95,50.0,4.6,42.0,4.8,65.0,5.7,1000.0,3.95,50.0,3.9,42.0,5.7,1000.0,33118956,7838019.0,39170146.0,58805.0,1.226331708,1.226331753,1.226331792,1.226331717
English League 2,2024-03-19,16:45:00,Bradford,Notts Co,1.95,1.96,4.2,4.3,3.95,4.1,2.42,2.46,1.69,1.7,1.66,1.72,2.38,2.52,18.5,20.0,18.5,21.0,29.0,34.0,14.5,85.0,11.0,15.5,8.4,9.2,15.5,16.5,38.0,46.0,12.0,13.0,10.0,10.5,14.5,16.5,40.0,48.0,20.0,23.0,15.0,17.5,24.0,28.0,46.0,70.0,9.2,10.5,30.0,970.0,15.0,850.0,33114514,48444.0,486328.0,58805.0,1.226247298,0.0,0.0,0.0
Scottish League One,2024-03-19,16:45:00,Kelty Hearts,Alloa,3.85,4.1,1.96,1.99,4.1,4.2,2.28,2.44,1.7,1.78,1.66,1.73,2.36,2.5,16.5,19.5,10.5,14.0,12.0,14.0,20.0,24.0,9.8,19.0,7.4,9.8,10.0,10.5,16.0,19.0,27.0,32.0,14.5,980.0,15.0,980.0,12.0,990.0,12.0,85.0,13.5,44.0,14.0,48.0,34.0,80.0,10.5,36.0,7.2,11.5,12.5,850.0,33114685,10317903.0,203715.0,58805.0,1.226255971,0.0,0.0,0.0
English National League,2024-03-19,16:45:00,Barnet,Eastleigh,1.38,1.39,8.0,10.5,5.8,6.4,2.88,3.1,1.48,1.54,1.78,1.87,2.14,2.28,22.0,30.0,17.5,40.0,5.5,90.0,8.4,1000.0,7.8,100.0,12.0,13.5,29.0,34.0,5.5,120.0,7.0,10.5,9.6,10.5,19.0,23.0,5.5,100.0,11.0,16.5,10.0,13.0,21.0,27.0,40.0,140.0,4.1,4.4,17.5,95.0,15.0,1000.0,33114877,1165.0,1222691.0,58805.0,1.226310184,1.226310187,1.226310231,1.226310232
Ecuadorian Serie A,2024-03-19,18:30:00,Cumbaya FC,Mushuc Runa,3.3,3.4,2.36,2.44,3.4,3.6,1.83,1.91,2.08,2.22,1.85,1.96,2.04,2.18,3.65,14.0,3.75,12.0,4.1,18.0,5.0,42.0,4.0,14.0,3.25,14.0,3.95,15.0,5.0,34.0,16.0,27.0,4.1,17.5,4.3,23.0,4.9,55.0,4.9,75.0,4.8,48.0,4.9,65.0,5.3,140.0,4.7,48.0,4.4,26.0,5.3,1000.0,33115529,25894882.0,8225986.0,58805.0,1.226265522,1.226265567,0.0,0.0
Venezuelan Primera Division,2024-03-19,18:45:00,Deportivo La Guaira,Carabobo FC,1.76,1.99,4.7,5.9,3.35,4.1,1.75,2.02,1.99,2.34,1.94,2.26,1.8,2.06,4.7,980.0,4.3,980.0,1.57,46.0,1.56,1000.0,7.2,980.0,4.2,980.0,2.2,980.0,1.53,1000.0,4.9,12.0,4.7,980.0,1.79,980.0,1.53,1000.0,3.3,17.5,2.84,21.0,1.53,55.0,7.8,1000.0,1.59,14.0,1.56,1000.0,7.8,1000.0,33119269,7658015.0,893607.0,58805.0,1.226337095,1.22633714,1.226337179,1.226337104
Uruguayan Primera Division,2024-03-19,19:00:00,Deportivo Maldonado,Defensor Sporting,1.04,980.0,1.84,2.42,2.96,950.0,1.52,2.7,1.59,3.95,1.5,2.62,1.63,3.0,1.43,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33100630,10932747.0,1222679.0,58805.0,1.226061147,1.226061192,0.0,0.0
Ecuadorian Serie A,2024-03-19,21:00:00,Orense Sporting Club,Imbabura Sporting Club,1.71,1.83,5.1,6.2,3.65,4.1,1.85,2.08,1.93,2.18,1.85,2.1,1.9,2.18,11.0,15.0,5.8,980.0,6.8,42.0,7.8,150.0,4.2,980.0,4.6,9.4,6.0,980.0,7.4,75.0,8.4,11.0,8.2,980.0,6.0,980.0,7.4,85.0,5.9,20.0,5.9,21.0,6.8,42.0,7.8,1000.0,5.0,13.0,7.6,100.0,8.2,1000.0,33116591,17583926.0,13638535.0,58805.0,1.226290831,1.226290876,0.0,0.0
Ecuadorian Serie A,2024-03-19,21:00:00,Libertad FC,LDU,6.6,8.0,1.48,1.53,4.5,5.1,2.16,2.32,1.76,1.86,1.93,2.06,1.95,2.08,6.4,21.0,7.4,9.6,7.4,10.0,11.0,16.5,6.8,27.0,5.0,11.0,4.9,10.5,5.9,17.5,2.82,65.0,6.6,28.0,6.8,26.0,2.72,38.0,1.83,1000.0,2.16,120.0,2.88,110.0,1.81,130.0,1.81,130.0,4.1,8.8,1.84,1000.0,33115767,44232344.0,474678.0,58805.0,1.226269686,1.226269731,0.0,0.0
