League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Friendly Matches,2024-08-09,06:30:00,Eibar,CA Osasuna II,1.7,1.87,1.04,870.0,3.25,950.0,1.05,1000.0,1.01,26.0,1.12,1000.0,1.12,1000.0,16.0,980.0,19.0,980.0,32.0,1000.0,40.0,1000.0,8.8,980.0,8.2,980.0,17.0,980.0,40.0,1000.0,9.4,1000.0,8.4,980.0,15.5,980.0,40.0,1000.0,15.0,1000.0,13.0,1000.0,24.0,1000.0,40.0,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33476757,247969.0,9310975.0,58805.0,1.231564167,1.231564212,1.231564251,1.231564176,1.07,1000.0,1.01,20.0,1.2,1000.0,1.01,990.0,1.14,1000.0,1.01,21.0,1.18,1.27,2.14,2.44,1.25,1.35,1.231564168,1.231564170,1.231564171,1.231564215
Friendly Matches,2024-08-09,07:00:00,Burgos,Leonesa,2.1,2.4,3.25,4.9,3.15,330.0,1.05,110.0,1.01,26.0,1.01,1000.0,1.01,1000.0,1.48,980.0,2.52,980.0,2.84,1000.0,1.05,1000.0,2.5,980.0,1.05,980.0,1.03,980.0,1.03,1000.0,1.05,1000.0,1.05,980.0,1.03,980.0,1.03,1000.0,1.05,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33476785,968180.0,565022.0,58805.0,1.231566581,1.231566626,1.231566665,1.231566590,1.01,1000.0,1.01,1000.0,1.05,110.0,1.01,26.0,1.05,110.0,1.01,26.0,1.33,1.45,1.71,1.91,1.27,1.38,1.231566582,1.231566584,1.231566585,1.231566629
South Korean K League 1,2024-08-09,07:30:00,Jeonbuk Motors,Gwangju FC,2.86,3.05,2.48,2.64,3.55,3.8,2.04,2.2,1.83,1.97,1.7,1.85,2.18,2.44,12.5,17.0,9.8,12.5,14.0,19.0,5.8,44.0,11.0,14.5,7.0,8.6,10.0,13.5,19.0,32.0,17.0,22.0,10.5,14.5,14.0,18.5,5.8,980.0,6.0,980.0,24.0,38.0,5.9,50.0,6.2,980.0,5.4,28.0,5.1,22.0,6.6,980.0,33462845,2224159.0,5348611.0,58805.0,1.231347791,1.231347836,1.231347875,1.231347800,3.25,3.5,1.4,1.45,4.0,1000.0,1.01,1.34,4.0,4.9,1.26,1.34,1.6,1.67,1.5,1.54,1.35,1.39,1.231347792,1.231347794,1.231347795,1.231347839
South Korean K League 1,2024-08-09,07:30:00,Gimcheon Sangmu,Gangwon,2.18,2.28,3.4,3.65,3.55,3.8,1.9,2.06,1.94,2.1,1.71,1.98,2.02,2.4,11.0,14.5,11.0,15.0,20.0,28.0,6.6,80.0,8.4,11.0,6.8,8.2,13.0,16.5,6.4,50.0,12.0,15.5,9.2,12.5,15.0,19.5,6.4,980.0,21.0,36.0,19.5,26.0,6.6,48.0,6.8,130.0,5.2,19.0,6.2,44.0,7.0,1000.0,33462846,41053763.0,5348606.0,58805.0,1.231347701,1.231347746,1.231347785,1.231347710,3.1,3.25,1.44,1.48,3.75,1000.0,1.01,1.37,3.75,4.5,1.29,1.37,1.37,1.4,1.78,1.84,1.36,1.39,1.231347702,1.231347704,1.231347705,1.231347749
Chinese Super League,2024-08-09,08:35:00,Sichuan Jiuniu FC,Chengdu Rongcheng,7.8,10.5,1.45,1.49,4.8,5.4,2.1,2.32,1.76,1.91,1.98,2.18,1.85,2.02,15.0,18.5,7.6,8.6,7.6,8.8,11.0,13.0,23.0,34.0,9.6,11.5,8.8,10.5,13.5,15.5,11.5,80.0,26.0,34.0,22.0,28.0,30.0,980.0,11.5,360.0,12.0,160.0,12.0,150.0,12.0,980.0,11.0,200.0,4.7,7.4,12.0,1000.0,33465374,17714225.0,50443280.0,58805.0,1.231402212,1.231402257,1.231402296,1.231402221,3.1,3.65,1.38,1.48,13.5,1000.0,1.01,1.08,4.1,4.9,1.26,1.33,3.0,3.25,1.12,1.15,1.22,1.27,1.231402213,1.231402215,1.231402216,1.231402260
Chinese Super League,2024-08-09,08:35:00,Shanghai Port FC,Meizhou Hakka,1.04,1.2,21.0,1000.0,8.6,950.0,2.0,14.5,1.07,1.6,1.12,4.1,1.33,1000.0,40.0,980.0,40.0,980.0,40.0,1000.0,40.0,1000.0,1.05,980.0,40.0,980.0,40.0,980.0,40.0,1000.0,9.0,1000.0,19.0,980.0,40.0,980.0,40.0,1000.0,6.2,1000.0,14.5,1000.0,40.0,1000.0,40.0,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33467800,51006167.0,11079690.0,58805.0,1.231440133,1.231440143,1.231440132,1.231440142,1.01,1000.0,1.01,20.0,50.0,1000.0,1.01,1.02,2.24,1000.0,1.01,1.6,1.01,1.05,6.0,36.0,1.01,1.13,1.231440124,1.231440136,1.231440137,1.231440147
Chinese Super League,2024-08-09,08:35:00,Cangzhou Mighty Lions,Shandong Taishan,4.5,5.0,1.78,1.86,4.0,4.6,2.3,2.6,1.62,1.77,1.65,1.77,2.3,2.54,18.0,23.0,10.0,12.5,10.5,14.0,16.0,22.0,18.5,24.0,8.8,11.0,9.0,11.5,14.5,19.0,28.0,980.0,15.5,20.0,15.5,19.5,21.0,32.0,40.0,980.0,34.0,980.0,36.0,980.0,40.0,980.0,5.9,980.0,4.0,9.6,6.8,1000.0,33465328,50443413.0,50443279.0,58805.0,1.231401683,1.231401693,1.231401682,1.231401692,3.35,4.3,1.32,1.43,17.5,1000.0,1.01,1.07,1.2,14.5,1.07,55.0,2.16,2.28,1.25,1.29,1.28,1.33,1.231401674,1.231401686,1.231401687,1.231401697
Ukrainian Premier League,2024-08-09,09:30:00,Livyi Bereh,Vorskla,2.92,3.25,2.62,2.86,3.1,3.35,1.64,1.71,2.42,2.58,1.97,2.12,1.9,2.04,9.4,980.0,4.2,980.0,14.0,980.0,34.0,980.0,9.4,980.0,6.6,8.0,11.0,980.0,27.0,980.0,15.0,980.0,11.0,980.0,17.0,980.0,44.0,980.0,38.0,980.0,29.0,980.0,46.0,980.0,95.0,1000.0,6.2,980.0,6.0,980.0,7.0,1000.0,33472837,60357825.0,2017721.0,58805.0,1.231509179,1.231509272,1.231509348,1.231509216,1.01,3.05,1.49,1.67,9.0,18.0,1.08,1.13,2.94,3.35,1.43,1.52,1.54,1.62,1.45,1.53,1.42,1.48,1.231509181,1.231509185,1.231509187,1.231509302
Armenian Premier League,2024-08-09,10:00:00,Alashkert,FC Van Yerevan,1.03,110.0,1.45,1000.0,1.45,950.0,1.07,110.0,1.02,18.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,19.5,1000.0,20.0,1000.0,20.0,1000.0,2.62,1000.0,8.2,1000.0,16.5,1000.0,20.0,1000.0,9.8,1000.0,1.01,1000.0,14.0,1000.0,20.0,1000.0,1.01,1000.0,1.01,1000.0,20.0,1000.0,20.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33477262,9686394.0,25541480.0,58805.0,1.231578978,1.231579023,1.231579062,1.231578987,3.45,4.4,1.3,1.41,1.07,55.0,1.02,1.07,1.07,110.0,1.02,18.0,1.01,3.3,1.09,950.0,1.01,3.3,1.231578979,1.231578981,1.231578982,1.231579026
Romanian Liga II,2024-08-09,12:00:00,FC Voluntari,Concordia Chiajna,1.15,600.0,1.54,870.0,1.7,950.0,1.06,55.0,1.05,21.0,1.12,1000.0,1.12,1000.0,1.49,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,1.05,980.0,1.05,980.0,1.03,980.0,1.03,1000.0,1.05,1000.0,2.92,980.0,1.03,980.0,1.03,1000.0,1.05,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33473220,8838645.0,5367199.0,58805.0,1.231514611,1.231514656,1.231514695,1.231514620,2.92,3.3,1.44,1.52,1.2,55.0,1.05,4.8,1.14,55.0,1.05,21.0,1.01,2.86,1.08,8.2,1.01,2.44,1.231514612,1.231514614,1.231514615,1.231514659
