League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
South Korean K3 League,2024-07-12,07:00:00,Chuncheon,Yangpyeong FC,2.38,2.82,2.94,3.75,2.74,4.0,1.63,1.86,2.16,2.76,1.91,2.18,1.87,2.1,1.97,11.5,3.6,13.0,1.83,26.0,1.43,1000.0,1.97,10.0,2.44,8.2,1.77,17.5,1.39,1000.0,3.95,18.5,2.1,15.0,1.82,25.0,1.4,1000.0,1.6,1000.0,1.51,38.0,1.25,1000.0,1.94,1000.0,1.23,36.0,1.25,1000.0,1.64,1000.0,33405983,19825683.0,19826173.0,58805.0,1.230567102,1.230567147,1.230567186,1.230567111,2.36,3.35,1.43,1.74,2.66,1000.0,1.01,1.6,2.66,36.0,1.39,1.6,1.38,1.52,1.56,1.72,1.37,1.49,1.230567103,1.230567105,1.230567106,1.230567150
South Korean K3 League,2024-07-12,07:00:00,Hwaseong FC,Daejeon Korail FC,1.73,600.0,2.92,870.0,2.74,950.0,1.07,55.0,1.04,21.0,1.12,1000.0,1.12,1000.0,1.48,1000.0,2.82,1000.0,2.98,1000.0,2.9,1000.0,2.94,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.94,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405990,23492514.0,23921184.0,58805.0,1.230566922,1.230566967,1.230567006,1.230566931,1.01,1000.0,1.01,20.0,1.2,110.0,1.02,990.0,1.14,55.0,1.04,990.0,1.06,1.52,1.69,2.38,1.08,1.57,1.230566923,1.230566925,1.230566926,1.230566970
Chinese Super League,2024-07-12,08:00:00,Qingdao Youth Island,Zhejiang Greentown,5.1,6.2,1.53,1.59,5.0,6.0,3.35,3.95,1.33,1.42,1.52,1.59,2.72,3.0,6.8,44.0,14.0,19.0,11.5,16.0,14.0,19.0,6.6,40.0,11.5,15.5,9.2,12.5,11.5,15.5,7.2,65.0,18.5,26.0,15.0,20.0,17.0,24.0,95.0,130.0,44.0,60.0,6.8,48.0,40.0,60.0,6.4,34.0,2.98,4.7,7.8,270.0,33400242,40285964.0,23257633.0,58805.0,1.230495415,1.230495425,1.230495414,1.230495424,4.5,6.0,1.2,1.28,3.35,55.0,1.02,1.04,3.35,55.0,1.13,1.42,2.68,2.9,1.2,1.24,1.21,1.25,1.230495406,1.230495418,1.230495419,1.230495429
Chinese Super League,2024-07-12,08:35:00,Cangzhou Mighty Lions,Wuhan Three Towns,3.65,3.8,1.96,2.06,3.9,4.4,2.26,2.62,1.62,1.8,1.61,1.73,2.38,2.62,15.5,26.0,9.4,15.5,10.5,17.5,17.0,29.0,14.0,23.0,8.0,10.0,8.0,12.0,13.5,23.0,22.0,38.0,11.5,19.5,13.5,21.0,20.0,36.0,4.7,85.0,4.7,48.0,4.8,55.0,4.7,90.0,4.2,38.0,3.45,12.0,4.7,590.0,33400200,50443413.0,23228754.0,58805.0,1.230494826,1.230494836,1.230494825,1.230494835,3.1,4.6,1.27,1.47,17.5,36.0,1.03,1.07,2.26,36.0,1.03,1.8,1.94,2.04,1.35,1.38,1.29,1.34,1.230494817,1.230494829,1.230494830,1.230494840
Chinese Super League,2024-07-12,08:35:00,Shanghai Port FC,Beijing Guoan,1.39,1.42,8.0,9.4,5.8,6.6,3.05,3.6,1.38,1.48,1.63,1.77,2.3,2.6,29.0,38.0,38.0,70.0,9.2,150.0,10.0,220.0,12.0,15.5,12.5,15.0,27.0,32.0,40.0,100.0,10.0,12.0,9.4,11.0,19.0,23.0,40.0,80.0,11.5,14.0,12.0,13.5,21.0,26.0,40.0,85.0,3.7,4.4,9.6,75.0,10.0,440.0,33400161,51006167.0,2955487.0,58805.0,1.230494598,1.230494608,1.230494597,1.230494607,4.2,5.5,1.22,1.31,3.05,55.0,1.02,1.04,3.05,55.0,1.1,1.48,1.12,1.15,3.35,3.6,1.18,1.21,1.230494589,1.230494601,1.230494602,1.230494612
Chinese Super League,2024-07-12,09:00:00,Chengdu Rongcheng,Tianjin Jinmen Tiger FC,1.4,1.43,8.4,9.8,5.2,5.9,2.54,2.9,1.53,1.65,1.77,1.96,2.04,2.3,4.6,32.0,4.7,38.0,4.9,100.0,5.0,300.0,8.2,11.5,11.0,15.5,21.0,44.0,4.9,140.0,8.2,11.5,7.4,12.0,19.5,28.0,4.9,120.0,10.5,15.5,10.0,16.5,21.0,34.0,4.9,120.0,2.76,6.0,4.9,130.0,5.0,1000.0,33400099,50443280.0,50443178.0,58805.0,1.230492288,1.230492298,1.230492287,1.230492297,3.35,5.0,1.25,1.43,21.0,55.0,1.02,1.05,2.54,55.0,1.14,1.65,1.12,1.14,3.3,3.5,1.2,1.24,1.230492279,1.230492291,1.230492292,1.230492302
Friendly Matches,2024-07-12,11:00:00,Plzen,FC Copenhagen,2.4,2.72,2.8,3.25,3.65,4.5,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.45,1000.0,2.62,1000.0,2.82,1000.0,2.98,1000.0,2.52,1000.0,2.96,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409368,52613879.0,52533356.0,58805.0,1.230600832,1.230600877,1.230600916,1.230600841,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,1.06,1.06,1000.0,1.01,21.0,1.44,1.56,1.58,1.72,1.29,1.38,1.230600833,1.230600835,1.230600836,1.230600880
Friendly Matches,2024-07-12,12:00:00,Fortuna Dusseldorf,Diosgyori,2.2,2.54,2.96,3.6,3.75,7.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.92,1000.0,2.92,1000.0,1.01,1000.0,2.38,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.94,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409369,879210.0,2018266.0,58805.0,1.230600742,1.230600787,1.230600826,1.230600751,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,1.07,1.06,1000.0,1.01,21.0,1.38,1.52,1.65,1.84,1.26,1.37,1.230600743,1.230600745,1.230600746,1.230600790
Friendly Matches,2024-07-12,12:00:00,WSG Wattens,Greuther Furth,3.35,6.0,1.98,2.0,3.9,7.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.76,1000.0,2.92,1000.0,1.01,1000.0,2.4,1000.0,2.82,1000.0,1.01,1000.0,1.01,1000.0,2.96,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409367,3258153.0,64375.0,58805.0,1.230600922,1.230600967,1.230601006,1.230600931,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,1.06,1.06,1000.0,1.01,21.0,2.0,2.04,1.31,1.43,1.24,1.35,1.230600923,1.230600925,1.230600926,1.230600970
Romanian Liga I,2024-07-12,12:30:00,Farul Constanta,Unirea Slobozia,1.56,1.63,7.0,8.8,3.8,4.3,1.67,1.85,2.18,2.66,2.22,2.52,1.65,1.82,8.6,12.0,14.5,25.0,3.8,80.0,3.95,1000.0,5.4,6.6,7.2,9.8,22.0,38.0,3.95,1000.0,6.6,9.4,8.0,13.0,21.0,38.0,3.95,1000.0,10.5,17.0,14.0,24.0,5.5,65.0,3.95,1000.0,3.1,13.5,3.95,1000.0,4.0,1000.0,33400241,1556985.0,6803100.0,58805.0,1.230494872,1.230494917,1.230494956,1.230494881,2.62,3.1,1.48,1.61,8.6,13.5,1.08,1.13,2.98,3.5,1.4,1.51,1.12,1.17,2.58,2.82,1.31,1.36,1.230494873,1.230494875,1.230494876,1.230494920
Friendly Matches,2024-07-12,13:00:00,Pardubice,MFK Chrudim,1.63,1.79,1.66,17.5,3.05,950.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.39,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409376,4940265.0,5727460.0,58805.0,1.230601559,1.230601604,1.230601643,1.230601568,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,21.0,1.06,1000.0,1.01,21.0,1.21,1.31,2.26,2.6,1.18,1.27,1.230601560,1.230601562,1.230601563,1.230601607
Friendly Matches,2024-07-12,13:00:00,Metz,Jeunesse d'Esch,1.13,1.21,1.04,1000.0,3.05,950.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.62,1000.0,2.38,1000.0,1.01,1000.0,2.7,1000.0,2.76,1000.0,1.01,1000.0,1.01,1000.0,2.8,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409316,44795.0,11684401.0,58805.0,1.230599803,1.230599848,1.230599887,1.230599812,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,21.0,1.06,1000.0,1.01,21.0,1.01,1.06,2.6,8.8,1.06,1.14,1.230599804,1.230599806,1.230599807,1.230599851
Friendly Matches,2024-07-12,13:00:00,Slaven Belupo,Zrinjski,3.45,9.8,2.0,2.26,3.75,7.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409388,170923.0,4807138.0,58805.0,1.230601469,1.230601514,1.230601553,1.230601478,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,21.0,1.06,1000.0,1.01,21.0,1.79,2.0,1.3,1.41,1.26,1.37,1.230601470,1.230601472,1.230601473,1.230601517
Finnish Ykkonen,2024-07-12,13:00:00,Atlantis,EPS,1.42,2.3,3.5,110.0,3.6,950.0,1.78,3.85,1.35,2.28,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.72,1000.0,2.82,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33408426,174384.0,10773401.0,58805.0,1.230592603,1.230592648,1.230592687,1.230592612,1.01,4.5,1.29,1.59,1.78,1000.0,1.01,1.12,1.78,990.0,1.01,2.28,1.16,1.4,2.32,3.35,1.01,1.37,1.230592604,1.230592606,1.230592607,1.230592651
Finnish Ykkonen,2024-07-12,13:00:00,JJK,VIFK,1.47,1.8,4.5,110.0,3.95,10.0,1.34,1000.0,1.01,3.95,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33408429,799035.0,498148.0,58805.0,1.230592513,1.230592558,1.230592597,1.230592522,1.01,5.2,1.24,1000.0,1.34,990.0,1.01,1.12,1.34,990.0,1.01,3.95,1.01,1.3,1.8,26.0,1.11,1.49,1.230592514,1.230592516,1.230592517,1.230592561
Finnish Kakkonen,2024-07-12,13:00:00,TPV,EBK,1.64,110.0,2.46,110.0,3.6,8.0,1.29,1000.0,1.01,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,2.88,1000.0,1.01,1000.0,2.9,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,28.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33408437,804682.0,8562848.0,58805.0,1.230592423,1.230592468,1.230592507,1.230592432,1.01,1000.0,1.01,1000.0,1.29,110.0,1.01,1.12,1.29,1000.0,1.01,4.6,1.21,1.63,1.02,2.58,1.19,1.39,1.230592424,1.230592426,1.230592427,1.230592471
Friendly Matches,2024-07-12,13:00:00,Brest,Avranches,1.25,1.37,1.04,38.0,3.05,950.0,1.06,1000.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.5,1000.0,2.3,1000.0,1.01,1000.0,2.74,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33409389,669348.0,2224930.0,58805.0,1.230601379,1.230601424,1.230601463,1.230601388,1.01,1000.0,1.01,1000.0,1.06,1000.0,1.01,21.0,1.06,1000.0,1.01,21.0,1.02,1.11,2.36,5.0,1.11,1.21,1.230601380,1.230601382,1.230601383,1.230601427
