ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32687478,1.219215455,Mexican Segunda Division,2023-10-05,00:00:00,Los Cabos United,Gavilanes Matamoros,1.91,3.15,4.0,2.06,1.68,1.87,1.83,990.0,990.0,980.0,1.01,990.0,990.0,980.0,1.01,990.0,990.0,980.0,1.01,1.01,1.01,1.01,1.01,990.0,1.01
32687978,1.219227208,Mexican Women's Matches,2023-10-05,00:00:00,FC Juarez (W),Club Leon FC (W),1.75,4.3,3.95,1.48,2.62,1.48,2.36,980.0,28.0,980.0,980.0,990.0,13.0,990.0,980.0,17.0,12.5,990.0,980.0,25.0,990.0,29.0,980.0,8.4,980.0
32682940,1.219121180,Mexican Liga MX,2023-10-05,00:00:00,Santos Laguna,Tijuana,1.7,4.3,4.8,1.58,2.46,1.64,2.36,23.0,26.0,46.0,120.0,12.5,10.5,22.0,60.0,14.0,10.5,20.0,60.0,18.5,17.5,30.0,85.0,8.2,48.0
32665510,1.218829884,Mexican Liga MX,2023-10-05,00:00:00,Tigres,Toluca,1.75,4.1,4.8,1.69,2.3,1.72,2.26,19.5,22.0,40.0,110.0,11.0,10.0,19.5,60.0,12.0,10.0,18.0,60.0,18.0,16.5,29.0,85.0,9.0,55.0
32671830,1.218938115,Mexican Ascenso MX,2023-10-05,00:05:00,Club Atletico Morelia,Alebrijes De Oaxaca,1.49,4.8,6.4,1.61,2.34,1.79,2.04,22.0,28.0,60.0,980.0,10.5,11.5,27.0,110.0,10.0,9.6,23.0,95.0,14.0,15.0,30.0,130.0,6.8,110.0
32688356,1.219229149,AFC Cup,2023-10-05,05:00:00,FC Ulaanbaatar,Taichung Futuro FC,1.76,3.65,2.62,1.4,2.24,1.74,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32686010,1.219195676,AFC Cup,2023-10-05,05:00:00,Macarthur FC,Dynamic Herb Cebu FC,1.15,9.8,20.0,1.24,3.85,2.24,1.56,65.0,1.01,1.01,1.01,990.0,34.0,1.01,1.01,990.0,990.0,1.01,1.01,990.0,990.0,1.01,1.01,2.56,1.01
32686185,1.219219750,Kazakhstan Premier League,2023-10-05,07:00:00,FK Maqtaaral Jetisay,Tobol Kostanay,2.38,2.56,2.58,1.33,1.64,1.74,1.86,980.0,1.01,1.01,1.01,980.0,990.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32680225,1.219070551,Japanese J League 3,2023-10-05,07:00:00,FC Osaka,Kagoshima Utd,2.88,2.96,2.5,2.14,1.69,1.87,1.92,980.0,1.01,1.01,1.01,990.0,990.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32688393,1.219231125,Azerbaijan 1st Division,2023-10-05,08:00:00,Moik Baku,Shamakhi FK,2.8,3.7,1.97,1.01,1.17,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32688392,1.219237782,Azerbaijan 1st Division,2023-10-05,08:30:00,Energetik Mingechevir,Mil-Mugan FK,1.01,1.01,1.01,1.01,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
