League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2024-01-28,07:30:00,23,Konyaspor,İstanbul Başakşehir,3.1,2.1,3.1,2.5,3.4,2.5,1.39,2.75,1.04,10.06,1.29,3.44,1.86,1.81,1.73,1.95,1.47,1.29,1.49,1.2,0.91,1.39,1.18,2.57,1.95,8.0,2.1,1.27,3.55,1.65,2.26,1.95,1.85,2.3,1.55,3.4,1.29
Portugal LigaPro,2024-01-28,08:00:00,19,AVS,CS Marítimo,3.0,2.0,3.6,2.47,3.06,2.84,1.47,2.5,1.08,7.0,1.38,2.9,2.09,1.61,1.87,1.87,1.4,1.33,1.5,1.78,2.11,1.68,1.27,2.95,1.85,9.4,2.18,1.1,5.45,1.23,3.56,1.52,2.51,1.83,1.98,2.25,1.63
Netherlands Eredivisie,2024-01-28,08:15:00,19,Heerenveen,AZ,3.75,2.2,2.75,3.4,3.6,1.91,1.36,3.0,1.04,13.0,1.26,3.67,1.68,2.02,1.7,2.05,1.8,1.24,1.33,1.63,1.75,1.85,1.44,3.29,1.94,7.5,2.12,1.2,3.65,1.38,2.63,1.68,2.02,2.1,1.62,2.7,1.36
Italy Serie A,2024-01-28,08:30:00,22,Genoa,Lecce,2.88,1.91,4.75,2.0,3.2,3.9,1.57,2.25,1.13,7.4,1.55,2.47,2.31,1.52,2.2,1.62,1.25,1.36,1.79,1.4,0.5,1.19,1.07,2.26,1.67,8.8,2.67,1.4,2.64,1.76,2.02,2.24,1.61,3.1,1.33,4.3,1.16
Romania Liga I,2024-01-28,09:00:00,23,Hermannstadt,Botoşani,2.32,2.03,5.5,1.65,3.4,4.8,1.47,2.57,1.04,7.5,1.35,2.84,2.03,1.57,2.02,1.71,1.15,1.28,2.06,1.82,0.55,1.59,1.2,2.79,1.51,8.5,3.24,1.33,2.93,1.63,2.25,2.05,1.76,2.67,1.39,0.0,0.0
France Ligue 1,2024-01-28,09:00:00,19,Montpellier,Lille,4.33,2.2,2.63,3.6,3.5,1.95,1.4,2.75,1.02,9.0,1.28,3.3,1.71,1.97,1.8,1.95,1.77,1.3,1.27,1.0,1.22,1.58,1.29,2.87,2.45,7.5,1.74,1.34,2.8,1.62,2.1,2.04,1.67,2.63,1.38,3.55,1.22
Belgium Pro League,2024-01-28,09:30:00,22,Sint-Truiden,KRC Genk,3.7,2.2,2.5,3.7,3.6,1.83,1.35,3.05,1.01,9.9,1.23,3.58,1.65,2.03,1.68,2.05,1.8,1.28,1.27,1.5,1.7,1.56,1.85,3.41,2.3,7.0,1.9,1.27,3.55,1.5,2.48,1.87,1.87,2.45,1.5,3.4,1.29
Germany 2. Bundesliga,2024-01-28,09:30:00,19,Hamburger SV,Karlsruher SC,2.1,2.63,4.33,1.55,4.5,4.33,1.2,4.33,1.01,25.0,1.11,7.0,1.29,2.97,1.4,2.75,1.16,1.16,2.2,2.63,0.75,1.97,1.41,3.38,1.55,9.0,2.9,1.09,5.6,1.25,3.5,1.46,2.45,1.83,1.98,2.3,1.51
Germany 2. Bundesliga,2024-01-28,09:30:00,19,Greuther Fürth,Holstein Kiel,2.5,2.38,3.75,1.91,3.8,3.3,1.3,3.4,1.03,16.0,1.15,4.45,1.47,2.32,1.53,2.38,1.31,1.26,1.83,2.22,2.38,1.62,1.41,3.03,1.45,9.5,3.31,1.12,4.9,1.24,3.5,1.46,2.45,1.83,1.98,2.3,1.51
Germany 2. Bundesliga,2024-01-28,09:30:00,19,Eintracht Braunschweig,Magdeburg,3.2,2.25,3.1,2.62,3.6,2.3,1.33,3.25,1.04,15.25,1.18,4.1,1.54,2.18,1.57,2.25,1.55,1.29,1.48,1.22,1.0,1.54,1.42,2.96,1.83,8.0,2.2,1.23,3.6,1.44,2.5,1.8,2.0,2.3,1.5,3.2,1.28
Portugal LigaPro,2024-01-28,09:45:00,19,Paços de Ferreira,CD Mafra,2.75,2.05,4.0,2.18,3.18,3.23,1.44,2.6,1.05,8.0,1.33,3.0,2.04,1.64,1.85,1.85,1.3,1.33,1.62,1.89,1.22,1.61,1.19,2.8,1.62,9.5,2.61,1.12,4.9,1.27,3.28,1.55,2.41,2.0,1.8,2.33,1.58
Turkey Süper Lig,2024-01-28,10:00:00,23,Sivasspor,Beşiktaş,3.5,2.15,2.75,2.9,3.5,2.15,1.38,2.9,1.05,13.0,1.25,3.82,1.76,1.92,1.68,2.1,1.65,1.3,1.38,1.0,1.45,1.57,1.29,2.86,2.5,8.0,1.73,1.29,3.4,1.51,2.51,2.0,1.8,2.25,1.62,3.5,1.27
Turkey Süper Lig,2024-01-28,10:00:00,23,Fatih Karagümrük,Rizespor,2.9,2.15,3.2,2.3,3.4,2.7,1.35,2.95,1.05,13.0,1.22,4.12,1.73,1.95,1.63,2.1,1.42,1.29,1.55,1.45,0.9,1.32,1.14,2.46,1.8,8.0,2.38,1.37,2.95,1.67,2.12,2.16,1.65,2.95,1.37,4.1,1.21
Spain La Liga,2024-01-28,10:00:00,22,Celta de Vigo,Girona FC,3.25,2.25,3.1,2.62,3.6,2.38,1.33,3.25,1.06,14.5,1.24,4.13,1.75,1.9,1.62,2.2,1.53,1.29,1.43,0.91,2.4,1.51,1.38,2.89,1.71,8.0,2.45,1.23,3.45,1.44,2.48,1.76,1.93,2.2,1.56,2.85,1.33
