League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Serbia SuperLiga,2024-03-12,10:00:00,25,Bačka Topola,Mladost Lučani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.25,1.87,0.9,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-03-12,12:00:00,25,Čukarički,Spartak Subotica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.25,1.65,1.25,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-03-12,12:00:00,25,Novi Pazar,Voždovac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.5,1.55,1.18,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-03-12,14:00:00,25,Javor Ivanjica,Radnik Surdulica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.58,1.44,0.82,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2024-03-12,14:30:00,17,Piast Gliwice,Puszcza Niepołomice,2.02,2.18,7.2,1.37,4.4,8.1,1.44,2.68,1.03,8.0,1.34,2.88,1.92,1.78,2.31,1.57,1.08,1.22,2.69,1.27,0.45,1.56,1.31,2.87,1.23,10.0,5.15,1.28,3.2,1.57,2.39,1.93,1.88,2.46,1.54,3.42,1.25
Serbia SuperLiga,2024-03-12,16:00:00,25,IMT Novi Beograd,Vojvodina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.83,1.34,1.49,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2024-03-12,16:30:00,16,Masr,Al Masry,3.69,2.05,3.24,2.9,3.0,2.55,1.48,2.6,1.09,6.5,1.42,2.7,2.26,1.58,1.85,1.8,1.44,1.38,1.48,1.5,1.67,1.91,1.1,3.01,1.98,8.2,2.04,1.34,2.88,1.68,2.14,2.1,1.71,2.75,1.37,3.86,1.2
Egypt Egyptian Premier League,2024-03-12,16:30:00,15,National Bank of Egypt,Al Ahly,5.5,2.25,1.95,5.73,4.0,1.53,1.4,2.75,1.05,8.0,1.25,3.5,1.76,1.93,1.8,1.9,2.25,1.25,1.04,0.57,2.33,1.42,1.77,3.19,3.12,9.2,1.45,1.2,3.86,1.39,2.67,1.75,2.04,2.18,1.66,2.84,1.35
Egypt Egyptian Premier League,2024-03-12,16:30:00,15,El Gounah,Zamalek,4.33,2.1,2.4,4.15,3.6,1.79,1.4,2.75,1.05,8.5,1.3,3.35,1.94,1.75,1.73,1.91,1.85,1.25,1.22,1.0,1.33,1.36,1.68,3.04,2.85,9.2,1.52,0.0,0.0,1.35,2.84,1.67,2.15,2.07,1.72,2.64,1.4
England EFL League Two,2024-03-12,16:45:00,38,Newport County,Morecambe,2.75,2.2,3.75,2.02,3.55,3.65,1.36,3.0,1.05,9.5,1.28,3.65,1.72,2.0,1.67,2.1,1.3,1.25,1.73,1.67,1.44,1.29,1.14,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
