Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
l64kNuHc,21/01/2024,00:10,MEXICO - LIGA MX,Atlas,Club Tijuana,CLAUSURA ,2.2,3.25,3.4,1.5,2.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.95,1.8,2.25,1.63,1.35,3.1,8.0,9.0,15.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,34.0,51.0,351.0
Ek3adtnE,21/01/2024,04:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Melbourne City,ROUND 13,2.38,3.8,2.75,1.29,3.5,1.03,15.0,1.17,5.0,1.53,2.4,2.38,1.57,4.0,1.25,1.5,2.5,2.25,1.63,1.45,2.68,17.0,13.0,17.0,29.0,12.0,7.5,11.0,19.0,15.0,9.5,11.0,23.0,23.0,17.0,21.0,34.0,101.0
S81oLnZO,21/01/2024,07:00,MALTA - PREMIER LEAGUE,Birkirkara,Santa Lucia,ROUND 13,1.44,4.3,6.3,1.33,3.04,1.02,8.7,1.24,3.3,1.7,1.91,2.67,1.36,5.3,1.12,1.91,1.7,,,,,11.75,16.5,40.0,120.0,6.7,8.5,20.0,70.0,6.6,8.25,20.0,70.0,9.25,11.75,28.0,100.0,800.0
rBUxBfP9,21/01/2024,07:00,ANDORRA - PRIMERA DIVISIÓ,UE Santa Coloma,Inter Escaldes,ROUND 13,2.9,3.25,2.18,1.42,2.37,,,1.32,2.98,1.98,1.65,3.48,1.24,6.2,1.09,1.79,1.98,,,,,8.75,6.1,8.5,16.5,7.2,5.6,7.7,15.0,11.75,9.0,12.5,25.0,27.0,21.0,29.0,55.0,400.0
OCp0VTaq,21/01/2024,07:30,TURKEY - 1. LIG,Tuzlaspor,Altay,ROUND 19,1.75,3.5,4.75,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.78,3.5,1.29,7.0,1.1,1.83,1.83,1.75,2.05,1.2,4.4,9.5,13.0,23.0,51.0,7.0,6.5,17.0,41.0,8.0,8.5,17.0,41.0,13.0,15.0,29.0,51.0,301.0
23q4UmFk,21/01/2024,07:30,TURKEY - 1. LIG,Keciorengucu,Manisa FK,ROUND 19,3.2,3.25,2.25,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,3.4,1.3,7.0,1.1,1.8,1.91,3.1,1.35,1.63,2.25,9.5,7.5,11.0,21.0,9.5,6.5,9.5,19.0,15.0,12.0,15.0,29.0,34.0,26.0,34.0,51.0,251.0
KIdI2sxc,21/01/2024,07:30,TURKEY - SUPER LIG,Sivasspor,Gaziantep,ROUND 21,1.95,3.5,4.0,1.4,2.75,1.06,10.0,1.3,3.4,2.05,1.8,3.5,1.29,7.0,1.1,1.83,1.83,1.95,1.9,1.26,3.7,9.5,11.0,19.0,41.0,7.0,6.5,13.0,34.0,9.0,9.0,15.0,41.0,17.0,15.0,29.0,51.0,251.0
YRyu8SXE,21/01/2024,08:00,SPAIN - PRIMERA RFEF,Murcia,Baleares,GROUP 2 ,1.73,3.2,4.5,1.53,2.38,1.1,6.5,1.44,2.63,2.38,1.53,4.5,1.17,8.5,1.05,2.25,1.57,1.78,2.03,1.19,4.5,6.5,10.0,21.0,51.0,5.5,7.0,17.0,41.0,7.0,9.5,21.0,51.0,13.0,19.0,41.0,81.0,67.0
j72yl7tq,21/01/2024,08:00,SPAIN - PRIMERA RFEF,Ceuta,San Fernando,GROUP 2 ,1.73,3.3,4.2,1.44,2.63,1.07,7.5,1.36,3.0,2.1,1.7,3.75,1.25,7.0,1.08,2.0,1.73,1.78,2.03,1.21,4.25,8.5,11.0,21.0,51.0,6.5,7.0,15.0,41.0,8.0,9.0,19.0,41.0,13.0,17.0,34.0,51.0,700.0
x0M0f93F,21/01/2024,08:00,SPAIN - PRIMERA RFEF,Algeciras,Melilla,GROUP 2 ,1.85,2.9,4.33,1.62,2.2,1.11,6.0,1.53,2.38,2.63,1.44,5.0,1.14,9.0,1.04,2.38,1.53,1.93,1.88,1.21,4.25,6.0,9.0,21.0,51.0,5.0,6.5,17.0,41.0,7.5,10.0,21.0,51.0,15.0,21.0,41.0,81.0,67.0
vJwTghhE,21/01/2024,08:00,SPAIN - PRIMERA RFEF,Sabadell,Celta Vigo B,GROUP 1 ,3.8,2.9,1.91,1.53,2.38,1.1,6.5,1.44,2.63,2.38,1.53,4.33,1.2,8.5,1.05,2.1,1.67,3.9,1.24,1.8,2.0,6.5,6.0,8.5,17.0,9.5,6.0,9.5,19.0,19.0,15.0,19.0,41.0,41.0,41.0,51.0,67.0,900.0
QFkoV8FD,21/01/2024,08:00,SPAIN - PRIMERA RFEF,R. Union,Arenteiro,GROUP 1 ,1.83,3.1,4.0,1.53,2.38,1.1,6.5,1.44,2.63,2.38,1.53,4.5,1.17,8.5,1.05,2.25,1.57,2.15,1.68,1.22,4.15,6.5,9.0,21.0,41.0,5.5,6.5,15.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,900.0
EunsWl07,21/01/2024,08:00,SPAIN - PRIMERA RFEF,Gimnastic,Lugo,GROUP 1 ,1.83,2.9,4.33,1.62,2.2,1.11,6.0,1.57,2.25,2.63,1.44,5.0,1.14,9.0,1.04,2.5,1.5,1.9,1.9,1.21,4.25,6.0,9.0,21.0,51.0,5.0,6.5,17.0,41.0,7.5,10.0,23.0,51.0,15.0,21.0,41.0,101.0,67.0
Gh0xOlAF,21/01/2024,08:00,PORTUGAL - LIGA PORTUGAL 2,Tondela,FC Porto B,ROUND 18,2.6,3.5,2.6,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.67,2.1,2.43,1.53,1.48,2.6,11.0,9.5,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0
CMjpnoBe,21/01/2024,08:00,SPAIN - PRIMERA RFEF,UD Ibiza,Alcoyano,GROUP 2 ,1.53,3.3,6.0,1.5,2.5,1.08,7.0,1.4,2.75,2.3,1.6,4.33,1.2,8.0,1.06,2.38,1.53,1.58,2.35,1.12,6.25,7.0,13.0,29.0,67.0,5.5,7.5,21.0,51.0,6.5,9.5,23.0,67.0,11.0,17.0,41.0,81.0,67.0
0Y34mko2,21/01/2024,08:15,NETHERLANDS - EREDIVISIE,Utrecht,PSV,ROUND 18,8.5,5.5,1.33,1.22,4.0,1.02,21.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,1.75,2.0,6.25,1.12,3.3,1.33,19.0,10.0,8.0,9.5,26.0,11.0,9.0,10.0,41.0,23.0,17.0,21.0,101.0,51.0,41.0,51.0,151.0
h2i74ljf,21/01/2024,08:30,ITALY - SERIE A,Frosinone,Cagliari,ROUND 21,2.4,3.4,2.9,1.4,2.75,1.06,10.0,1.3,3.5,2.02,1.88,3.4,1.33,6.5,1.11,1.75,2.0,2.3,1.6,1.4,2.85,10.0,9.5,15.0,29.0,8.5,6.5,11.0,23.0,12.0,9.5,13.0,29.0,23.0,19.0,29.0,41.0,201.0
6BpmjDyE,21/01/2024,09:00,ENGLAND - CHAMPIONSHIP,Leeds,Preston,ROUND 28,1.3,5.5,10.0,1.3,3.4,1.04,13.0,1.22,4.33,1.67,2.15,2.63,1.5,5.0,1.17,2.1,1.67,1.3,3.45,,,13.0,21.0,41.0,126.0,7.5,10.0,26.0,67.0,6.5,9.0,23.0,51.0,8.0,11.0,29.0,67.0,451.0
8Aalng20,21/01/2024,09:00,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Neftci Baku,ROUND 19,2.07,3.3,3.25,1.44,2.4,1.04,7.9,1.35,2.7,2.02,1.62,3.35,1.23,7.2,1.05,1.85,1.75,,,,,8.5,8.75,16.0,45.0,6.7,6.4,11.75,32.0,9.25,9.0,16.5,45.0,18.5,18.0,32.0,90.0,800.0
EoLBZkVe,21/01/2024,09:30,GERMANY - 2. BUNDESLIGA,Magdeburg,Wehen,ROUND 18,1.67,4.33,4.5,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.57,2.25,1.65,2.2,1.21,4.25,17.0,17.0,26.0,51.0,10.0,8.5,15.0,29.0,10.0,8.5,13.0,29.0,15.0,12.0,19.0,41.0,126.0
0vuythhS,21/01/2024,09:30,GERMANY - 2. BUNDESLIGA,Paderborn,Greuther Furth,ROUND 18,2.2,3.75,3.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.53,2.38,2.15,1.68,1.4,2.85,15.0,13.0,17.0,34.0,11.0,7.5,11.0,21.0,13.0,9.0,12.0,26.0,21.0,15.0,21.0,34.0,126.0
UwkCsPoc,21/01/2024,09:30,GERMANY - 3. LIGA,Preussen Munster,Arminia Bielefeld,ROUND 21,2.2,3.5,2.63,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.57,2.25,2.25,1.63,1.43,2.75,15.0,12.0,15.0,29.0,11.0,7.5,11.0,21.0,13.0,9.5,12.0,23.0,23.0,17.0,23.0,41.0,126.0
YiRMYL7S,21/01/2024,09:30,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,Genk U23,ROUND 18,1.55,4.5,5.0,1.22,4.0,1.02,21.0,1.11,6.5,1.4,2.88,1.91,1.8,3.25,1.33,1.5,2.5,1.55,2.38,1.18,4.65,23.0,21.0,34.0,51.0,12.0,9.5,17.0,34.0,11.0,9.0,13.0,29.0,13.0,11.0,17.0,34.0,101.0
txPZsENF,21/01/2024,09:30,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Dusseldorf,ROUND 18,2.45,3.6,2.75,1.29,3.5,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,2.43,1.53,1.48,2.6,17.0,13.0,17.0,29.0,12.0,7.0,11.0,19.0,15.0,10.0,11.0,23.0,23.0,17.0,21.0,34.0,101.0
MZfstrnq,21/01/2024,09:30,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Charleroi,ROUND 21,1.62,4.0,5.25,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.8,1.95,1.63,2.25,1.19,4.5,12.0,15.0,26.0,51.0,7.5,7.5,17.0,41.0,8.0,8.5,15.0,41.0,12.0,13.0,23.0,51.0,201.0
vwOo9YgM,21/01/2024,09:30,ANDORRA - PRIMERA DIVISIÓ,Penya,FC Santa Coloma,ROUND 13,8.5,5.2,1.25,1.19,4.2,,,1.14,4.9,1.57,2.12,1.85,1.78,2.98,1.32,1.73,2.06,,,,,19.5,9.0,7.0,7.6,25.0,10.0,7.7,8.25,55.0,22.0,15.5,16.5,175.0,70.0,50.0,50.0,250.0
GIwgJhgS,21/01/2024,10:00,SPAIN - LALIGA,Osasuna,Getafe,ROUND 21,2.25,3.0,3.8,1.57,2.25,1.13,6.0,1.53,2.5,2.6,1.48,5.0,1.17,11.0,1.05,2.1,1.67,2.15,1.68,1.28,3.55,6.0,8.0,17.0,41.0,6.0,6.0,15.0,41.0,9.0,10.0,19.0,51.0,21.0,21.0,41.0,67.0,451.0
86ZKB8gI,21/01/2024,10:00,ROMANIA - LIGA 1,FC Botosani,CFR Cluj,ROUND 22,5.25,3.75,1.57,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.91,1.8,5.25,1.16,2.35,1.58,10.0,6.5,7.0,11.0,13.0,7.5,8.5,13.0,29.0,17.0,19.0,29.0,51.0,41.0,41.0,51.0,351.0
tYpR0L69,21/01/2024,10:00,TURKEY - SUPER LIG,Konyaspor,Antalyaspor,ROUND 21,2.88,3.0,2.7,1.5,2.5,1.1,7.0,1.4,2.75,2.35,1.57,4.33,1.2,10.0,1.06,1.91,1.8,2.75,1.43,1.48,2.6,7.0,7.5,12.0,26.0,7.5,5.5,11.0,23.0,13.0,11.0,15.0,41.0,29.0,26.0,41.0,51.0,351.0
UDuUqWBP,21/01/2024,10:00,MALTA - PREMIER LEAGUE,Floriana,Gzira,ROUND 13,1.53,3.85,5.7,1.42,2.45,1.05,7.34,1.33,2.8,1.98,1.65,3.25,1.25,7.0,1.08,2.07,1.6,1.78,1.93,,,9.0,13.0,32.0,120.0,5.7,7.6,19.5,70.0,6.3,8.5,22.0,80.0,10.25,14.0,35.0,120.0,900.0
v1lnoyFs,21/01/2024,10:00,ITALY - SERIE C,Arzignano,Pro Patria,GROUP A ,2.07,3.0,3.85,1.62,2.22,1.12,5.4,1.52,2.37,2.5,1.47,4.55,1.16,7.8,1.05,2.15,1.62,2.05,1.72,,,5.4,8.25,19.0,60.0,5.4,5.9,13.5,45.0,8.25,9.25,18.5,60.0,19.0,21.0,45.0,120.0,201.0
AobGjciK,21/01/2024,10:00,ITALY - SERIE C,Trento,Novara,GROUP A ,2.4,3.0,3.0,1.57,2.3,1.1,5.8,1.47,2.5,2.37,1.52,4.25,1.19,7.3,1.06,2.02,1.72,2.32,1.57,,,5.8,7.2,13.5,37.0,6.4,5.9,11.5,32.0,10.5,9.75,17.0,50.0,25.0,23.0,40.0,100.0,201.0
hfZRjvs4,21/01/2024,10:00,SPAIN - LALIGA2,Racing Santander,FC Cartagena SAD,ROUND 23,1.85,3.5,4.33,1.4,2.75,1.06,9.5,1.3,3.4,2.05,1.8,3.5,1.29,7.0,1.1,1.83,1.83,1.88,1.98,1.24,3.9,9.5,11.0,21.0,41.0,7.0,6.5,15.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,29.0,51.0,301.0
EoHZnskE,21/01/2024,10:00,ITALY - SERIE C,ACR Messina,Taranto,GROUP C ,3.05,2.95,2.42,1.62,2.2,1.12,5.3,1.57,2.3,2.65,1.42,4.85,1.14,8.25,1.04,2.2,1.6,,,1.55,2.35,5.3,5.7,10.0,25.0,6.8,5.9,10.5,26.0,13.5,12.0,20.0,50.0,40.0,35.0,55.0,150.0,1000.0
W23zvbad,21/01/2024,10:00,TURKEY - SUPER LIG,Fenerbahce,Samsunspor,ROUND 21,1.22,6.5,12.0,1.25,3.75,1.02,19.0,1.13,6.0,1.44,2.7,2.0,1.73,3.5,1.29,2.0,1.73,1.21,4.25,,,17.0,29.0,51.0,151.0,9.0,12.0,34.0,67.0,7.0,9.5,23.0,67.0,7.5,11.0,26.0,67.0,301.0
Ofq3VEJt,21/01/2024,10:00,ITALY - SERIE C,Sorrento,Turris,GROUP C ,2.07,3.15,3.55,1.55,2.37,1.1,6.0,1.45,2.57,2.3,1.55,4.1,1.2,7.1,1.06,2.02,1.7,2.05,1.72,,,6.0,8.25,17.0,50.0,6.0,6.2,13.0,37.0,8.75,9.0,18.0,55.0,18.5,19.0,37.0,110.0,900.0
MqOUFl0d,21/01/2024,10:00,TURKEY - 1. LIG,Sanliurfaspor,Adanaspor AS,ROUND 19,2.2,3.3,3.2,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.91,1.8,2.15,1.68,1.35,3.1,8.5,9.0,17.0,34.0,7.0,6.5,12.0,29.0,9.5,9.5,17.0,41.0,19.0,19.0,34.0,51.0,351.0
