Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
CrM7Jbgm,14/01/2024,00:00,MEXICO - LIGA MX,Monterrey,Puebla,CLAUSURA ,1.4,5.0,7.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.38,1.53,4.0,1.22,1.8,1.95,1.38,3.0,1.12,6.25,17.0,19.0,41.0,81.0,8.5,10.0,21.0,51.0,7.5,8.5,19.0,41.0,9.5,11.0,23.0,51.0,251.0
veDOFGhC,14/01/2024,00:00,MEXICO - LIGA MX,Club Tijuana,Club America,CLAUSURA ,2.2,3.5,3.2,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,1.75,2.0,2.2,1.65,1.38,3.0,11.0,10.0,17.0,34.0,8.0,6.5,11.0,26.0,11.0,9.0,15.0,34.0,21.0,17.0,26.0,41.0,201.0
00Af4tiL,14/01/2024,05:45,AUSTRALIA - A-LEAGUE,Perth Glory,Wellington Phoenix,ROUND 27,2.88,3.75,2.25,1.3,3.4,1.03,15.0,1.2,4.5,1.6,2.3,2.5,1.53,4.5,1.2,1.53,2.38,2.75,1.43,1.65,2.2,17.0,11.0,13.0,21.0,12.0,7.5,9.5,17.0,17.0,11.0,12.0,21.0,29.0,21.0,23.0,34.0,126.0
veParaU1,14/01/2024,05:45,AUSTRALIA - A-LEAGUE,Brisbane Roar,Newcastle Jets,ROUND 27,2.25,3.8,2.88,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,2.3,1.62,4.0,1.25,1.5,2.5,2.2,1.65,1.45,2.68,19.0,13.0,17.0,29.0,12.0,8.0,10.0,19.0,13.0,9.5,12.0,21.0,21.0,15.0,21.0,34.0,101.0
IBunOChG,14/01/2024,07:30,TURKEY - 1. LIG,Manisa FK,Kocaelispor,ROUND 18,2.1,3.3,3.25,1.4,2.75,1.06,10.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.73,2.0,2.1,1.7,1.35,3.1,10.0,10.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,15.0,34.0,19.0,17.0,26.0,41.0,201.0
fN9dot7M,14/01/2024,07:30,TURKEY - SUPER LIG,Istanbulspor AS,Konyaspor,ROUND 20,3.4,3.5,2.05,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,3.25,1.33,6.5,1.11,1.73,2.0,3.3,1.33,1.75,2.05,11.0,8.0,10.0,19.0,11.0,6.5,9.0,17.0,17.0,12.0,15.0,26.0,41.0,29.0,34.0,51.0,201.0
UaE8juop,14/01/2024,08:00,SPAIN - PRIMERA RFEF,Baleares,Recreativo Huelva,GROUP 2 ,2.9,2.9,2.3,1.62,2.2,1.11,6.0,1.53,2.38,2.63,1.44,5.0,1.14,9.0,1.04,2.25,1.57,3.0,1.38,1.58,2.35,6.0,6.0,10.0,23.0,7.0,6.5,11.0,23.0,13.0,13.0,21.0,41.0,34.0,34.0,41.0,81.0,67.0
lx3okSH6,14/01/2024,08:00,SPAIN - PRIMERA RFEF,Fuenlabrada,R. Union,GROUP 1 ,2.0,3.1,3.6,1.53,2.38,1.08,7.0,1.44,2.63,2.38,1.53,4.33,1.2,8.5,1.05,2.2,1.62,2.0,1.75,1.28,3.55,6.5,8.5,17.0,41.0,6.0,6.5,15.0,34.0,8.5,10.0,21.0,51.0,17.0,21.0,41.0,81.0,67.0
OMDCka0j,14/01/2024,08:00,SPAIN - PRIMERA RFEF,Ceuta,Malaga,GROUP 2 ,2.45,3.1,2.6,1.5,2.5,1.07,7.5,1.4,2.75,2.2,1.65,4.0,1.22,7.5,1.07,1.91,1.8,2.5,1.5,1.45,2.68,8.0,7.5,13.0,26.0,7.5,6.5,11.0,23.0,12.0,11.0,17.0,41.0,23.0,23.0,34.0,51.0,800.0
2DCGlJFd,14/01/2024,08:00,SPAIN - PRIMERA RFEF,Melilla,Murcia,GROUP 2 ,2.88,2.63,2.6,1.67,2.1,1.14,5.0,1.62,2.2,3.0,1.36,6.0,1.11,10.0,1.03,2.38,1.53,2.85,1.4,1.45,2.68,5.0,6.0,11.0,26.0,6.5,6.0,12.0,29.0,12.0,13.0,21.0,51.0,29.0,34.0,51.0,81.0,1000.0
